,Station,longitude,latitude,Metro_Line
0,Shaheed Sthal(New Bus Adda),77.41580947285303,28.67052875,Red Line
1,Hindon River,77.4065374,28.6734288,Red Line
2,Arthala,77.3918919,28.676999,Red Line
3,Mohan Nagar,77.10608184860985,28.60631905,Red Line
4,Shyam park,77.26846412516488,28.698807199999997,Red Line
5,Raj Bagh,76.4674978,26.0343354,Red Line
6,Shaheed Nagar,77.3356471,28.6782302,Red Line
7,Dilshad Garden,77.3215163,28.6758257,Red Line
8,Mansarovar Park,77.30113304480756,28.675340900000002,Red Line
9,Shahdara,77.2890248,28.6733333,Red Line
10,Welcome,75.6225168,11.750952,Red Line
11,Seelampur,77.2668137,28.6698165,Red Line
12,Shastri Park,77.2505301,28.6684339,Red Line
13,Kashmere Gate,77.22905486082311,28.666814100000003,Red Line
14,Tis Hazari,77.2166306,28.6671626,Red Line
15,Pul Bangash,77.2074156,28.6664068,Red Line
16,Pratap Nagar,77.1988974,28.6667177,Red Line
17,Shastri Nagar,77.1818589,28.6700885,Red Line
18,Inderlok,77.16568970929804,28.67276855,Red Line
19,Kanhaiya Nagar,77.1647754,28.6824082,Red Line
20,Keshav Puram,77.1616833,28.6889264,Red Line
21,Netaji Subash Place,77.54423798682119,12.990637249999999,Red Line
22,Kohat Enclave,77.1405393,28.6980415,Red Line
23,Pitam Pura,77.1322497,28.7032676,Red Line
24,Rohini East,77.1259691,28.7079009,Red Line
25,Rohini West,77.115385,28.7149569,Red Line
26,Rithala,77.1071813,28.7208064,Red Line
27,Samaypur Badli,77.1382654,28.7446158,Yellow Line
28,Rohini Sector 18-19,77.1398323,28.7383477,Yellow Line
29,Haiderpur Badli Mor,77.1491044,28.7299398,Yellow Line
30,Jahangirpuri,77.162658,28.7259717,Yellow Line
31,Adarsh Nagar,78.288169,30.1043091,Yellow Line
32,Azadpur,77.1755473,28.7076568,Yellow Line
33,Model Town,77.1939912,28.7027136,Yellow Line
34,Guru Tegh Bahadur Nagar,72.8621647,19.0369905,Yellow Line
35,Vishwavidyalaya,80.85427546399936,25.14636025,Yellow Line
36,Vidhan Sabha,80.94401840165287,26.843382,Yellow Line
37,Civil Lines,77.2250299,28.6768508,Yellow Line
38,Kashmere Gate,77.22905486082311,28.666814100000003,Yellow Line
39,Chandni Chowk,77.2321937,28.6559834,Yellow Line
40,Red Fort,77.24079592327321,28.65608095,Yellow Line
41,Chawri Bazar,77.2294377,28.6501706,Yellow Line
42,Jama Masjid,77.23296096363757,28.6506822,Yellow Line
43,New Delhi,77.2090057,28.6138954,Yellow Line
44,Rajiv Chowk,77.2196985,28.6327786,Yellow Line
45,Cannaught Place,72.7143834,24.591963,Yellow Line
46,Patel Chowk,79.41779653146327,28.35532575,Yellow Line
47, Jantar Mantar,75.8244663,26.9247389,Yellow Line
48,Central Secretariat,77.2123611,28.6158697,Yellow Line
49,Sansad Bhavan,77.20780819707952,28.6171875,Yellow Line
50,Udyog Bhawan,77.2122895,28.612527,Yellow Line
51,Rashtrapati Bhavan,77.19960101014068,28.614359450000002,Yellow Line
52,Lok Kalyan Marg,77.2032198,28.5988315,Yellow Line
53, Lodhi Gardens,77.2201596043907,28.59359335,Yellow Line
54,Lodhi Gardens,77.2201596043907,28.59359335,Yellow Line
55,Safdarjung Tomb,77.2131643,28.5892861,Yellow Line
56,AIIMS,77.2078058,28.5668602,Yellow Line
57,Green Park,77.5510193,28.8085507,Yellow Line
58,Hauz Khas,77.2067072,28.5442564,Yellow Line
59,Malviya Nagar,77.2124474,28.5339201,Yellow Line
60,Saket,77.2137253,28.5244107,Yellow Line
61,Qutab Minar,77.18586290052775,28.52416565,Yellow Line
62,Qutab Minar,77.18586290052775,28.52416565,Yellow Line
63,Chhattarpur,77.2136641,28.4313861,Yellow Line
64,Chhattarpur Temple,84.1891865,24.3691345,Yellow Line
65,Sultanpur,82.29616931685918,26.242510850000002,Yellow Line
66,Ghitorni,77.1491866,28.493751,Yellow Line
67,Arjan Garh,77.1257622,28.4807352,Yellow Line
68,Guru Dronacharya,77.1022685,28.4820212,Yellow Line
69,Sikandarpur,77.0930017,28.4812716,Yellow Line
70,MG Road,88.3701767,22.7395204,Yellow Line
71,IFFCO Chowk,77.0722427,28.4724299,Yellow Line
72,Huda City Centre,77.0726571,28.4593429,Yellow Line
73,Dwarka Sector 21,77.0586847,28.5518151,Blue Line
74,Dwarka Sector 8,77.0670366,28.5656109,Blue Line
75,Dwarka Sector 9,77.0653316,28.574272,Blue Line
76,Dwarka Sector 10,77.0574996,28.5810577,Blue Line
77,Dwarka Sector 11,77.0494433,28.586443,Blue Line
78,Dwarka Sector 12,77.0407315,28.5922362,Blue Line
79,Dwarka Sector 13,77.0335407,28.597009,Blue Line
80,Dwarka Sector 14,77.0259935,28.602234,Blue Line
81,Dwarka,68.9742446,22.2471009,Blue Line
82,Dwarka Mor,77.0332792,28.61931,Blue Line
83,Nawada,85.5185562336921,24.818123999999997,Blue Line
84,Uttam Nagar West,77.0557122,28.621757,Blue Line
85,Uttam Nagar East,77.0652861,28.6248465,Blue Line
86,Janak Puri West,75.8666482,30.8989909,Blue Line
87,Janak Puri East,75.8666482,30.8989909,Blue Line
88,Tilak Nagar,76.6185024,28.8904078,Blue Line
89,Subhash Nagar,77.1052347,28.6404628,Blue Line
90,Tagore Garden,77.1128454,28.6437639,Blue Line
91,Rajouri Garden,77.1239332,28.6451121,Blue Line
92,Ramesh Nagar,77.1316496,28.6527444,Blue Line
93,Moti Nagar,77.1424288,28.657859,Blue Line
94,Kirti Nagar,77.1417729,28.6532807,Blue Line
95,Shadipur,77.1582947,28.6516362,Blue Line
96,Patel Nagar,77.422914,28.6760162,Blue Line
97,Rajendra Place,77.1782756,28.6424955,Blue Line
98,Karol Bagh,77.1890227,28.6529982,Blue Line
99,Jhandewalan,77.1999165,28.6443188,Blue Line
100,R K Ashram Marg,77.2079539,28.6395839,Blue Line
101,Laxmi Narayan Temple,70.3515507,20.913996,Blue Line
102,Rajiv Chowk,77.2196985,28.6327786,Blue Line
103,Barakhamba,77.242523,28.5924658,Blue Line
104,Mandi House,77.2341897,28.6255564,Blue Line
105,Rajghat,77.2495084,28.6406036,Blue Line
106,Indraprastha,78.5748578,17.3701044,Blue Line
107,Purana Quila,76.97681894614621,29.39347815,Blue Line
108,Yamuna Bank,77.26448795080708,28.64697055,Blue Line
109,Akshardham,77.27731839825316,28.61251665,Blue Line
110,Akshardham,77.27731839825316,28.61251665,Blue Line
111,Mayur Vihar Phase-1,77.42759565096256,23.263183400000003,Blue Line
112,New Ashok Nagar,77.3015085,28.5890885,Blue Line
113,Noida Sector 15,77.3116118,28.5848835,Blue Line
114,Noida Sector 16,77.3177778,28.578081,Blue Line
115,Noida Sector 18,77.0848883,28.4808629,Blue Line
116,Botanical Garden,77.334332,28.5638964,Blue Line
117,Golf Course,76.99868815119544,28.6387384,Blue Line
118,Noida City Center,77.3561638,28.5747334,Blue Line
119,Noida Sector 34,77.3634917,28.5802538,Blue Line
120,Noida Sector 52,77.3730094,28.5868981,Blue Line
121,Noida Sector 61,77.3722303,28.5975859,Blue Line
122,Noida Sector 59,77.3727211,28.6065246,Blue Line
123,Noida Sector 62,77.3743146,28.6225753,Blue Line
124,Noida Electronic City,77.3750033,28.6282627,Blue Line
125,Shivaji Stadium,77.2155216,28.6329963,Airport Express
126,Gurdwara Bangla Sahib,77.20908510668275,28.62630785,Airport Express
127,Dhaula Kuan,77.1617034,28.5918905,Airport Express
128,Delhi Aerocity,77.1208089,28.5487982,Airport Express
129,IGI Airport,77.08467458266915,28.55489735,Airport Express
130,Dwarka Sector 21,77.0586847,28.5518151,Airport Express
131,Inderlok,77.16568970929804,28.67276855,Green Line
132,Ashok Park Main,77.155291,28.6716045,Green Line
133,Punjabi Bagh,77.1324614,28.668945,Green Line
134,Shivaji Park,77.1304722,28.6750317,Green Line
135,Madipur,77.1193599,28.6764752,Green Line
136,Paschim Vihar (East),77.1122953,28.6773985,Green Line
137,Paschim Vihar (West),77.1022255,28.6786514,Green Line
138,Peera Garhi,77.0926793,28.6798074,Green Line
139,Udyog Nagar,77.0808492,28.681103,Green Line
140,National Museum,77.21928644481778,28.611803000000002,Green Line
141,Nangloi,77.0647319,28.6824007,Green Line
142,Nangloi Railway Station,77.0562463,28.6822009,Green Line
143,Rajdhani Park,77.0439437,28.6823085,Green Line
144,Mundka,77.0305741,28.6824341,Green Line
145,Ghevra Metro station,76.9961591,28.6852384,Green Line
146,Tikri Kalan,76.9772069,28.6868661,Green Line
147,Tikri Border,76.9640828,28.6880254,Green Line
148,Pandit Shree Ram Sharma,76.9511988,28.689281,Green Line
149,Brigadier Hoshiar Singh,77.209397,28.5792789,Green Line
150,Kashmere Gate,77.22905486082311,28.666814100000003,Violet Line
151,Lal Quila,77.6824474,32.1061376,Violet Line
152,Jama Masjid,77.23296096363757,28.6506822,Violet Line
153,Delhi Gate,77.2407795,28.6392174,Violet Line
154,ITO,72.8544509,19.058934,Violet Line
155,Mandi House,77.2341897,28.6255564,Violet Line
156,Janpath,77.2193638,28.6264348,Violet Line
157,Central Secretariat,77.2123611,28.6158697,Violet Line
158,Cathedral Church,94.1042960950056,25.6529246,Violet Line
159,Khan Market,77.22649064087364,28.6001354,Violet Line
160,India Gate,77.22954465819639,28.612925150000002,Violet Line
161,Jawaharlal Nehru Stadium,73.96235327818988,15.28976205,Violet Line
162, Humayun Tomb,77.25073899691881,28.5932721,Violet Line
163,Nizamuddin Dargah,77.24198072598155,28.591367050000002,Violet Line
164,Salimgarh Fort,77.24265572104235,28.66099535,Violet Line
165,Jangpura,77.2415000727384,28.582457050000002,Violet Line
166,Lajpat Nagar,77.2440325,28.5792615,Violet Line
167,Moolchand,78.06894510240775,30.31840995,Violet Line
168,Kailash Colony,77.558021,28.8202447,Violet Line
169,Nehru Place,77.25295199508821,28.54925735,Violet Line
170, ISKCON Temple,77.5511397407252,13.0100626,Violet Line
171,Lotus Temple,78.9419664,17.5868304,Violet Line
172,Kalkaji Mandir,77.2606671,28.5497752,Violet Line
173,Kalkaji Temple,77.264507,28.5521924,Violet Line
174,Govind Puri,77.264266,28.5443766,Violet Line
175,Okhla,77.2890546,28.5636616,Violet Line
176,Jasola,77.29438559976452,28.5422327,Violet Line
177,Sarita Vihar,77.2883311,28.5285737,Violet Line
178,Mohan Estate,77.2945917,28.5197198,Violet Line
179,Tughlakabad,77.2992401,28.5023598,Violet Line
180,Tughlaqabad,77.2623265,28.5111925,Violet Line
181,Badarpur Border,77.3030192,28.4940776,Violet Line
182,Sarai,77.3049182,28.4779698,Violet Line
183,N.H.P.C. Chowk,77.3073933,28.4577786,Violet Line
184,Mewala Maharajpur,77.3023001,28.4418747,Violet Line
185,Sector 28 Faridabad,77.309063,28.4381599,Violet Line
186,Old Faridabad,77.3240399,28.4234963,Violet Line
187,Neelam Chowk Ajronda,77.3123599,28.3974824,Violet Line
188,Bata Chowk,77.313462,28.3858361,Violet Line
189,Escorts Mujesar,77.3149203,28.3702344,Violet Line
190,Sant Surdas - Sihi,77.3162264,28.3546513,Violet Line
191,Raja Nahar Singh,77.3164281,28.3400192,Violet Line
192,Janak Puri West,75.8666482,30.8989909,Magenta Line
193,Dabri Mor - Janakpuri South,77.085178,28.6157555,Magenta Line
194,Dashrath Puri,77.0837828,28.605016,Magenta Line
195,Palam,76.95452309807402,18.980182550000002,Magenta Line
196,Sadar Bazaar Cantonment,77.1111533,28.5771509,Magenta Line
197,Terminal 1 IGI Airport,77.08467458266915,28.55489735,Magenta Line
198,Shankar Vihar,77.13966548999556,28.55743865,Magenta Line
199,Vasant Vihar,77.16079073168567,28.56069055,Magenta Line
200,Munirka,77.1710841,28.554886,Magenta Line
201,RK Puram,78.5487763,17.3679481,Magenta Line
202,IIT Delhi,77.1945754,28.5471399,Magenta Line
203,Hauz Khas,77.2067072,28.5442564,Magenta Line
204,Panchsheel Park,77.2140757,28.5433525,Magenta Line
205,Chirag Delhi,77.2280694,28.5381411,Magenta Line
206,Greater Kailash,75.2218363,31.8164399,Magenta Line
207,Nehru Enclave,77.2515057,28.5460584,Magenta Line
208,Kalkaji Mandir,77.2606671,28.5497752,Magenta Line
209,Okhla NSIC,77.264817,28.5544908,Magenta Line
210,Sukhdev Vihar,77.2749004,28.5597477,Magenta Line
211,JAMIA MILLIA ISLAMIA,77.28116473551759,28.55849025,Magenta Line
212,Okhla Vihar,77.2919304,28.5613002,Magenta Line
213,Jasola Vihar Shaheen Bagh,77.2966578,28.5458279,Magenta Line
214,Kalindi Kunj,77.3059891,28.5452187,Magenta Line
215,Okhla Bird Sanctuary,77.321595,28.5529418,Magenta Line
216,Botanical Garden,77.334332,28.5638964,Magenta Line
217,Majlis Park,77.181964,28.7244312,Pink Line
218,Azadpur,77.1755473,28.7076568,Pink Line
219,Shalimar Bagh,74.87322601530605,34.14970725,Pink Line
220,Netaji Subash Place,77.54423798682119,12.990637249999999,Pink Line
221,Shakurpur,77.1496094,28.6857668,Pink Line
222,Punjabi Bagh West,77.1420875,28.6703201,Pink Line
223,Rajouri Garden,77.1239332,28.6451121,Pink Line
224,Maya Puri,77.2108417,28.6380841,Pink Line
225,Naraina Vihar,77.1403175,28.6273375,Pink Line
226,Delhi Cantt,77.12598539099099,28.583535599999998,Pink Line
227,Durgabai Deshmukh South Campus,77.1690817,28.5894384,Pink Line
228,Sir Vishweshwaraiah Moti Bagh,77.175741,28.5785326,Pink Line
229,Bhikaji Cama Place,77.18701648353385,28.56790025,Pink Line
230,Sarojini Nagar,77.1953703,28.5741575,Pink Line
231,South Extension,77.2200087,28.568501,Pink Line
232,Lajpat Nagar,77.2440325,28.5792615,Pink Line
233,Vinobapuri,77.2491906,28.5669763,Pink Line
234,Ashram,77.2585979,28.5724231,Pink Line
235,Mayur Vihar Phase-1,77.42759565096256,23.263183400000003,Pink Line
236,Mayur Vihar Pocket I,77.2987023,28.6058619,Pink Line
237,Trilokpuri Sanjay Lake,77.3088549,28.613453,Pink Line
238,Vinod Nagar East,77.29837773694399,28.623803,Pink Line
239,Mandawali - West Vinod Nagar,77.3044906,28.6249712,Pink Line
240,IP Extension,77.31019787919774,28.628899099999998,Pink Line
241,Anand Vihar,77.3125024,28.641115,Pink Line
242,Karkarduma Court,77.2957877,28.6536001,Pink Line
243,Krishna Nagar,78.4246746,17.4330523,Pink Line
244,East Azad Nagar,77.284881,28.6646964,Pink Line
245,Welcome,75.6225168,11.750952,Pink Line
246,Jaffrabad,77.2748055,28.6826822,Pink Line
247,Maujpur,76.8627548,27.0136184,Pink Line
248,Gokulpuri,77.2861253,28.7024752,Pink Line
249,Johri Enclave,77.2901293,28.7128806,Pink Line
250,Shiv Vihar,77.05061238963813,28.6481226,Pink Line
251,Yamuna Bank,77.26448795080708,28.64697055,Blue Line
252,Laxmi Nagar,77.277575,28.6305526,Blue Line
253,Nirman Vihar,77.2867943,28.6364928,Blue Line
254,Preet Vihar,77.2952594,28.6414409,Blue Line
255,Anand Vihar,77.3125024,28.641115,Blue Line
256,Kaushambi,81.44672838764605,25.53609455,Blue Line
257,Vaishali,85.416667,25.75,Blue Line
258,Ashok Park Main,77.155291,28.6716045,Green Line
259,Satguru Ram Singh Marg,77.1023875,28.608564,Green Line
260,Kirti Nagar,77.1417729,28.6532807,Green Line
261,Noida Sector 51,77.3752876,28.5857261,Aqua Line
262,Noida Sector 50,77.3782577,28.5743612,Aqua Line
263,Noida Sector 76,77.3796863,28.5653399,Aqua Line
264,Noida Sector 101,77.3849701,28.5560682,Aqua Line
265,Noida Sector 81,77.3899722,28.5493162,Aqua Line
266,NSEZ Noida,77.3947827,28.5324158,Aqua Line
267,Noida Sector 83,77.3964592,28.5222947,Aqua Line
268,Noida Sector 137,77.4036289,28.5107876,Aqua Line
269,Noida Sector 142,77.4128606,28.4989679,Aqua Line
270,Noida Sector 143,77.4223917,28.4942812,Aqua Line
271,Noida Sector 144,77.4330884,28.4863132,Aqua Line
272,Noida Sector 145,77.4424232,28.4790219,Aqua Line
273,Noida Sector 146,77.4552147,28.4687822,Aqua Line
274,Noida Sector 147,77.4661727,28.4593136,Aqua Line
275,Noida Sector 148,77.4766226,28.4480792,Aqua Line
276,Knowledge Park II,77.50005402757225,28.4568669,Aqua Line
277,Pari Chowk  Greater Noida,77.5083675,28.4633717,Aqua Line
278,Alpha 1  Greater Noida,77.5127586,28.4709744,Aqua Line
279,Delta 1 Greater Noida,77.5257335,28.4784435,Aqua Line
280,GNIDA Office,77.5365177,28.4846446,Aqua Line
281,Depot Greater Noida,77.5137649,28.4670734,Aqua Line
282,Dwarka,68.9742446,22.2471009,Gray Line
283,Nangli,74.8872757,31.6861441,Gray Line
284,Najafgarh,76.9823908,28.612304,Gray Line
